created_at,text,user,retweet_count,favorite_count,followers,is_verified,clean_text,sentiment
Thu Mar 21 12:49:57 +0000 2024,Could  $10 Trillion AUM Be Moving Through $XRP With  Deal?,WorkingMoneyCH,34,125,44214,False,Could $10 Trillion AUM Be Moving Through $XRP With Deal?,Positive
Thu Mar 21 12:20:57 +0000 2024,"XDC Network's Unbreakable Future: Exploring area of Quantum-Proof Blockchain Research MicroStrategy Buys Additional 9,245 Bitcoin (BTC) Worth $623M ChatGPT Predicts Bitcoin (BTC) to Hit $250,000 Post-Halving $BLOCK $SMOLE $RIO",B_C_News_,7,25,330,False,"XDC Network's Unbreakable Future: Exploring area of Quantum-Proof Blockchain Research MicroStrategy Buys Additional 9,245 Bitcoin (BTC) Worth $623M ChatGPT Predicts Bitcoin (BTC) to Hit $250,000 Post-Halving $BLOCK $SMOLE $RIO",Neutral
Thu Mar 21 11:13:26 +0000 2024,"THE WORKING MONEY CHANNEL  PRESENTS TWO POSTS BY  TO SHOW A LINK BETWEEN , , AND SO IT IS POSSIBLE THAT ""SECRETLEY, RIPPLE PAYMENTS HAVE BEEN CONNECTED TO FEDNOW AND UPHOLD IS USING IT"" FULL EPISODE:",DROPZXRP,65,164,30302,False,"THE WORKING MONEY CHANNEL PRESENTS TWO POSTS BY TO SHOW A LINK BETWEEN , , AND SO IT IS POSSIBLE THAT ""SECRETLEY, RIPPLE PAYMENTS HAVE BEEN CONNECTED TO FEDNOW AND UPHOLD IS USING IT"" FULL EPISODE:",Neutral
Thu Mar 21 10:59:11 +0000 2024,"Big news! M-PESA Safaricom partners with Onafriq, integrating 's XRP for faster, more efficient remittances to Ethiopia! A game-changer in Africa's remittance scene, set to transform digital payments and boost economic growth.",CollinBrownXRP,17,47,11096,False,"Big news! M-PESA Safaricom partners with Onafriq, integrating 's XRP for faster, more efficient remittances to Ethiopia! A game-changer in Africa's remittance scene, set to transform digital payments and boost economic growth.",Positive
Thu Mar 21 10:38:18 +0000 2024, long short,JesusCrypto33,0,16,7813,False,long short,Neutral
Thu Mar 21 09:43:33 +0000 2024,$BONIC lookin solid. needed a Sonic 0xe08b01691eda82af7093438eaca03e03ede90bec $SMOLE $BLOCK Cryptocurrency,ShreddyCalls_,7,12,449,False,$BONIC lookin solid. needed a Sonic 0xe08b01691eda82af7093438eaca03e03ede90bec $SMOLE $BLOCK Cryptocurrency,Positive
Thu Mar 21 08:48:12 +0000 2024,What is the probability of $XRP hitting $10 in this bull run?,CryptoAnup,14,58,24540,False,What is the probability of $XRP hitting $10 in this bull run?,Neutral
Thu Mar 21 08:25:16 +0000 2024,Top US Lawmaker Cites and Victory While Calling for SEC Reforms via Crypto Basic,xrp334,34,132,59153,False,Top US Lawmaker Cites and Victory While Calling for SEC Reforms via Crypto Basic,Positive
Thu Mar 21 08:17:10 +0000 2024,Top U.S. Lawmaker Cites and Victory While Calling for SEC Reforms.,thecryptobasic,7,20,66687,False,Top U.S. Lawmaker Cites and Victory While Calling for SEC Reforms.,Positive
Thu Mar 21 08:11:32 +0000 2024,Get ready to feel the thrill as $BCUT arrives on  sparking excitement all around! $RIO $BLOCK $MOLE $GMRX,Tanisha_Jaizz,4,10,1878,False,Get ready to feel the thrill as $BCUT arrives on sparking excitement all around! $RIO $BLOCK $MOLE $GMRX,Positive
Thu Mar 21 07:45:55 +0000 2024,Schwartz Says Could Sell on Exchanges If It Wanted to Hide XRP Sales via Crypto Basic,xrp334,12,53,59153,False,Schwartz Says Could Sell on Exchanges If It Wanted to Hide XRP Sales via Crypto Basic,Neutral
Thu Mar 21 07:01:21 +0000 2024,Schwartz Says Could Sell on Exchanges If It Wanted to Hide XRP Sales.,thecryptobasic,4,21,66687,False,Schwartz Says Could Sell on Exchanges If It Wanted to Hide XRP Sales.,Neutral
Thu Mar 21 06:30:46 +0000 2024,"Rabbit hole: user Equals Money (FairFX) is looking at a merger with Railsr (Embedded Finance), Railsr itself was bailed out by investors last year, lead by D Squared Capital. Railsr was once worth $1b, does embedded finance. 1/3",WKahneman,56,249,80310,,"Rabbit hole: user Equals Money (FairFX) is looking at a merger with Railsr (Embedded Finance), Railsr itself was bailed out by investors last year, lead by D Squared Capital. Railsr was once worth $1b, does embedded finance. 1/3",Neutral
Thu Mar 21 05:49:17 +0000 2024,"$PZP Chart look Bullish Impressive update from the team lately and now shifting to $SOL chain soon $PZP W pattern breakout expected , Bullish vibes $btc $eth $smole $mumu $token $cfg",SpideyVersee,4,13,267,,"$PZP Chart look Bullish Impressive update from the team lately and now shifting to $SOL chain soon $PZP W pattern breakout expected , Bullish vibes $btc $eth $smole $mumu $token $cfg",Positive
Thu Mar 21 05:26:29 +0000 2024,Today's Snapshot: Sentiment: Bullish Sentiment: Bearish Fear/Greed: Extreme Greed : 30D $BTC Dominance: 51.58% Powered by  Stay informed with $RIO $SOL $BLOCK,neroitech,6,59,4165,,Today's Snapshot: Sentiment: Bullish Sentiment: Bearish Fear/Greed: Extreme Greed : 30D $BTC Dominance: 51.58% Powered by Stay informed with $RIO $SOL $BLOCK,Positive
Thu Mar 21 02:59:13 +0000 2024,BREAKING1st TIME EVER STELLAR XLM OFFERS TOKENIZED ASSETS FOR RETAIL PEOPLE LIKE US!!!,CryptoHulk19,138,682,52592,,BREAKING1st TIME EVER STELLAR XLM OFFERS TOKENIZED ASSETS FOR RETAIL PEOPLE LIKE US!!!,Positive
Thu Mar 21 02:46:03 +0000 2024,Using the SocialGood App daily is the force behind SG's triumph! Showcasing our gratitude with $700 welcome &amp; onboarding gift just for you! .com,SocialGood_Inc,5,10,58268,,Using the SocialGood App daily is the force behind SG's triumph! Showcasing our gratitude with $700 welcome &amp; onboarding gift just for you! .com,Positive
Thu Mar 21 01:43:41 +0000 2024,WARNING! SEC GARY GENSLER SAYS ETHEREUM IS A SECURITY &amp; ETH FOUNDATION IS BEING INVESTIGATED! WATCH Follow  $eth,ThinkingCrypto1,34,93,134260,,WARNING! SEC GARY GENSLER SAYS ETHEREUM IS A SECURITY &amp; ETH FOUNDATION IS BEING INVESTIGATED! WATCH Follow $eth,Negative
Wed Mar 20 23:40:15 +0000 2024,"Ripple, XRP &amp; Not A Security! via ",AssetsDaily,4,25,62166,,"Ripple, XRP &amp; Not A Security! via",Positive
Wed Mar 20 23:37:23 +0000 2024,WOW! Blockchain APAC partnered with to host their Australia Policy Summit as part of Policy Week 2024 in Sydney! Policy Week: 18th to 22nd March 2024! RIPPLE ON THE WAY TO REGULATE DIGITAL ASSETS IN AUSTRALIA!,_Crypto_Barbie,87,389,102383,,WOW! Blockchain APAC partnered with to host their Australia Policy Summit as part of Policy Week 2024 in Sydney! Policy Week: 18th to 22nd March 2024! RIPPLE ON THE WAY TO REGULATE DIGITAL ASSETS IN AUSTRALIA!,Positive
Wed Mar 20 22:21:02 +0000 2024,The rest of the industry is lagging XRP's clarity by years. I can't believe this just happened... WOW.,xrpmickle,24,112,57352,,The rest of the industry is lagging XRP's clarity by years. I can't believe this just happened... WOW.,Positive
Wed Mar 20 22:13:42 +0000 2024,BREAKINGCRYPTO ETHEREUM IS BUSTED AND UNDER INVESTIGATION FOR SECURITIES FRAUD.,CryptoHulk19,145,490,52593,,BREAKINGCRYPTO ETHEREUM IS BUSTED AND UNDER INVESTIGATION FOR SECURITIES FRAUD.,Negative
Wed Mar 20 22:00:15 +0000 2024,The Truth About Crypto Adoption Watch Live M-F 11am EDT @,AbsGMCrypto,6,19,61292,,The Truth About Crypto Adoption Watch Live M-F 11am EDT @,Neutral
Wed Mar 20 20:14:20 +0000 2024,JUST IN: and SEC make peace to seal details in settlement negotiations!,_Crypto_Barbie,231,960,102379,,JUST IN: and SEC make peace to seal details in settlement negotiations!,Positive
Wed Mar 20 20:02:32 +0000 2024,ICYMI: President Monica Long has hinted at 2024 as a pivotal year in the institutionalization of cryptocurrencies,Utoday_en,12,55,95211,,ICYMI: President Monica Long has hinted at 2024 as a pivotal year in the institutionalization of cryptocurrencies,Positive
Wed Mar 20 19:35:10 +0000 2024,"Keep in mind: was the second asset after and strived hard to claim that spot! Now, with the SEC focusing on and the case nearing its end, stands to be the sole altcoin with clarity. Watch out as gears up to reclaim its position as the",CryptoVirtuos,11,21,80112,,"Keep in mind: was the second asset after and strived hard to claim that spot! Now, with the SEC focusing on and the case nearing its end, stands to be the sole altcoin with clarity. Watch out as gears up to reclaim its position as the",Positive
Wed Mar 20 19:31:02 +0000 2024,Will Be Using $XRP Through The  Real-Time Payments Upgrade?,WorkingMoneyCH,46,162,44215,,Will Be Using $XRP Through The Real-Time Payments Upgrade?,Neutral
Wed Mar 20 19:26:23 +0000 2024,and US SEC Jointly Agree to Seal Details in Remedies Briefing,xrp334,65,271,59146,,and US SEC Jointly Agree to Seal Details in Remedies Briefing,Neutral
Wed Mar 20 19:18:00 +0000 2024,"Going back to the investigation into the ,  source at the mentioned the logic of the agencies case v was that the infrastructure was completely built out. Switching to PoS would invalidate that according to the",NerdNationUnbox,53,249,18500,,"Going back to the investigation into the , source at the mentioned the logic of the agencies case v was that the infrastructure was completely built out. Switching to PoS would invalidate that according to the",Neutral
Wed Mar 20 19:03:19 +0000 2024,ICYMI: and the file joint proposal to seal details in remedies briefing $XRP,Utoday_en,9,52,95211,,ICYMI: and the file joint proposal to seal details in remedies briefing $XRP,Neutral
Wed Mar 20 18:40:44 +0000 2024,Remember! was 2nd asset after and did everything to get the 2nd place! Now the SEC wants and the case is ending. will be the only with clarity and will take back the 2nd place,LordVXrp,77,568,14045,,Remember! was 2nd asset after and did everything to get the 2nd place! Now the SEC wants and the case is ending. will be the only with clarity and will take back the 2nd place,Positive
Wed Mar 20 18:33:53 +0000 2024,Translation: and are involved with the largest currencies in the world.,DigPerspectives,33,181,193029,,Translation: and are involved with the largest currencies in the world.,Positive
Wed Mar 20 18:06:39 +0000 2024,Big News! and are joining forces to revolutionize in India! They're bringing a Central Bank Digital Currency (CBDC) to life using the . This is a game-changer for the future of finance in India!  ,w_thejazz,13,66,26921,,Big News! and are joining forces to revolutionize in India! They're bringing a Central Bank Digital Currency (CBDC) to life using the . This is a game-changer for the future of finance in India!,Positive
Wed Mar 20 18:06:36 +0000 2024,Coreum Launches Bridge to Strengthen XRP's Interoperability and DeFi Power ,newsfile_corp,7,26,5074,,Coreum Launches Bridge to Strengthen XRP's Interoperability and DeFi Power,Positive
Wed Mar 20 16:02:28 +0000 2024,"Like we said it would. BREAKING: ETHGATE, FED, XRP *LIVE*",xrpmickle,15,84,57344,,"Like we said it would. BREAKING: ETHGATE, FED, XRP *LIVE*",Neutral
Wed Mar 20 15:41:35 +0000 2024,Opening statements on the SEC Overreach Hearing and both and Grayscale are presented as evidence that the SEC has been a failure.,ChadSteingraber,190,667,52794,,Opening statements on the SEC Overreach Hearing and both and Grayscale are presented as evidence that the SEC has been a failure.,Negative
Wed Mar 20 15:40:23 +0000 2024,M-PESA signed an Xborder $ transfer agreement with partner Onafriq to streamline remittance flows to Ethiopia. Onafriq use what was formerly called ODL () in some instances.,WKahneman,75,277,80313,,M-PESA signed an Xborder $ transfer agreement with partner Onafriq to streamline remittance flows to Ethiopia. Onafriq use what was formerly called ODL () in some instances.,Positive
Wed Mar 20 15:29:29 +0000 2024,"SEC Overreach: Examining the need for reform ""Not only has the SEC lost in the court of public opinion, the agency is now getting trampled by the Federal Courts especially as it relates to digital assets"" -   ",subjectiveviews,140,415,17914,,"SEC Overreach: Examining the need for reform ""Not only has the SEC lost in the court of public opinion, the agency is now getting trampled by the Federal Courts especially as it relates to digital assets"" -",Negative
Wed Mar 20 15:15:30 +0000 2024,PAYYYY ATTENTIONNNN seated on the Advisory board of BOTH of these initiatives Global Synchronization of Liquidity World Government New Financial System = World Bridge Currency,CapitalLiftt,20,73,8379,,PAYYYY ATTENTIONNNN seated on the Advisory board of BOTH of these initiatives Global Synchronization of Liquidity World Government New Financial System = World Bridge Currency,Positive
Wed Mar 20 14:51:17 +0000 2024,"HKEX Synapse speeds up how trades settle using smart contracts, making it easier and faster for people trading stocks between Hong Kong and China to see what's happening in real-time. got involved in the HKEX Synapse project as part of the inaugural e-HKD Rail 2 Pilot",MrManXRP,30,97,37284,,"HKEX Synapse speeds up how trades settle using smart contracts, making it easier and faster for people trading stocks between Hong Kong and China to see what's happening in real-time. got involved in the HKEX Synapse project as part of the inaugural e-HKD Rail 2 Pilot",Positive
Wed Mar 20 14:44:24 +0000 2024,"chads want something with brains behind it like Schwartz? check  Sompolinsky, the founder &amp; $kas ghostDAG author even feature in the $XRP Whitepaper (highlighted) $eth base consensus on their OLD work $xlm $bch $sol $vet $ada $matic $inj $dot $ltc",plzsats,2,15,6351,,"chads want something with brains behind it like Schwartz? check Sompolinsky, the founder &amp; $kas ghostDAG author even feature in the $XRP Whitepaper (highlighted) $eth base consensus on their OLD work $xlm $bch $sol $vet $ada $matic $inj $dot $ltc",Neutral
Wed Mar 20 14:35:31 +0000 2024,"Securitize was jointly funded by , Morgan Stanley, NTT Data and others. ""..providing a path to liquidity for the private capital markets.""",ChadSteingraber,73,257,52789,False,"Securitize was jointly funded by , Morgan Stanley, NTT Data and others. ""..providing a path to liquidity for the private capital markets.""",Positive
Wed Mar 20 14:34:55 +0000 2024,"BREAKING NEWS: Key dates announced for SEC vs. Ripple case: Parties will confer and red file documentsacted from Mar 22 to May 20, 2024, ensuring transparency while protecting sensitive information.",w_thejazz,10,54,26922,False,"BREAKING NEWS: Key dates announced for SEC vs. Ripple case: Parties will confer and red file documentsacted from Mar 22 to May 20, 2024, ensuring transparency while protecting sensitive information.",Neutral
Wed Mar 20 14:22:12 +0000 2024,"$455 million crypto bloodbath: XRP, SHIB, Bitcoin among most angry cryptocurrencies $shib $btc $xrp",Utoday_en,3,23,95209,False,"$455 million crypto bloodbath: XRP, SHIB, Bitcoin among most angry cryptocurrencies $shib $btc $xrp",Negative
Wed Mar 20 14:09:53 +0000 2024,"Ripple/XRP-New:SEC vs Ripple Joint Sealing Proposal?, Ripple HKD &amp; Fubon Bank, XRP $74? Paid Promotion",DigPerspectives,11,36,193042,False,"Ripple/XRP-New:SEC vs Ripple Joint Sealing Proposal?, Ripple HKD &amp; Fubon Bank, XRP $74? Paid Promotion",Neutral
Wed Mar 20 13:20:13 +0000 2024,. president unveils crypto industry's next big thing in 2024,Utoday_en,8,26,95209,False,. president unveils crypto industry's next big thing in 2024,Positive
Wed Mar 20 13:01:18 +0000 2024,Is an XRP ETF Approval on the Horizon Watch Live M-F 11am EDT @,AbsGMCrypto,9,52,61292,False,Is an XRP ETF Approval on the Horizon Watch Live M-F 11am EDT @,Neutral
Wed Mar 20 10:50:58 +0000 2024,Celebrates Brazilian Real Stablecoin On Ledger,xrp334,24,106,59153,False,Celebrates Brazilian Real Stablecoin On Ledger,Positive
Wed Mar 20 10:33:48 +0000 2024,Legal developments in the SEC v. Ripple lawsuit always catch our attention! The new sealing proposals filed by Ripple and the SEC sound intriguing. Thanks for sharing the update!,Brett_Crypto_X,5,31,92213,False,Legal developments in the SEC v. Ripple lawsuit always catch our attention! The new sealing proposals filed by Ripple and the SEC sound intriguing. Thanks for sharing the update!,Neutral
Wed Mar 20 10:14:01 +0000 2024,XRP under scrutiny as SEC vs. unfolds! Price slips below $0.60 with sealing of confidential materials. Will XRP bounce back or tumble down further? Stay tuned for March 22nd! Subscribe to our YouTube channel:,CollinBrownXRP,18,31,11096,False,XRP under scrutiny as SEC vs. unfolds! Price slips below $0.60 with sealing of confidential materials. Will XRP bounce back or tumble down further? Stay tuned for March 22nd! Subscribe to our YouTube channel:,Negative
Wed Mar 20 09:21:07 +0000 2024,"Analyst Says Primed For Rally, Highlights Two Major Lawsuit Dates via Crypto Basic",xrp334,21,85,59153,False,"Analyst Says Primed For Rally, Highlights Two Major Lawsuit Dates via Crypto Basic",Positive
Wed Mar 20 09:12:38 +0000 2024,"Analyst  Says Primed For Rally, Highlights Two Major Ripple Lawsuit Dates.",thecryptobasic,1,13,66687,False,"Analyst Says Primed For Rally, Highlights Two Major Ripple Lawsuit Dates.",Positive
Wed Mar 20 07:57:29 +0000 2024,SEC v. Lawsuit: Another Fresh Update Emerges As Ripple and SEC File New Sealing Proposals via Crypto Basic,xrp334,40,202,59146,,SEC v. Lawsuit: Another Fresh Update Emerges As Ripple and SEC File New Sealing Proposals via Crypto Basic,Neutral
Wed Mar 20 07:45:14 +0000 2024,"Revolutionizing enterprise blockchain solutions, Coreum integrates seamlessly with 's XRP, boosting business operations &amp; digital asset management. With Smart Tokens, Inter-Blockchain Communication, and on-chain KYC, Coreum sets the bar high for compliance &amp; innovation.",CollinBrownXRP,17,49,11096,,"Revolutionizing enterprise blockchain solutions, Coreum integrates seamlessly with 's XRP, boosting business operations &amp; digital asset management. With Smart Tokens, Inter-Blockchain Communication, and on-chain KYC, Coreum sets the bar high for compliance &amp; innovation.",Positive
Wed Mar 20 07:41:02 +0000 2024,$Xrp 1d Nice starting position...,THEFLASHTRADING,25,195,83675,,$Xrp 1d Nice starting position...,Positive
Wed Mar 20 07:19:00 +0000 2024,XRP Lawsuit: Ripple and SEC Agree to Seal Details in Remedies-Related Briefing. XRP Lawsuit: Ripple and SEC files motion to seal important details in remedies-related briefing from public access.,MackAttackXRP,7,37,124124,False,XRP Lawsuit: Ripple and SEC Agree to Seal Details in Remedies-Related Briefing. XRP Lawsuit: Ripple and SEC files motion to seal important details in remedies-related briefing from public access.,Neutral
Wed Mar 20 07:02:11 +0000 2024,SEC v. Ripple Lawsuit: Another Fresh Update Emerges As Ripple and SEC File New Sealing Proposal.,thecryptobasic,5,20,66702,False,SEC v. Ripple Lawsuit: Another Fresh Update Emerges As Ripple and SEC File New Sealing Proposal.,Neutral
Wed Mar 20 07:01:48 +0000 2024,"XRP and ATOM Listing Unveiled on BitMEX, Price Rally In View BitMEX announces the listing of () and () to its platform, providing users with opportunity for trading and investment.",MackAttackXRP,2,7,124124,False,"XRP and ATOM Listing Unveiled on BitMEX, Price Rally In View BitMEX announces the listing of () and () to its platform, providing users with opportunity for trading and investment.",Positive
Wed Mar 20 04:30:54 +0000 2024,The momentum is real with $5.8M raised in the ! Let's use this energy to sprint towards our next goal!,blockdagnetwork,8,20,140812,False,The momentum is real with $5.8M raised in the ! Let's use this energy to sprint towards our next goal!,Positive
Wed Mar 20 01:59:46 +0000 2024,"Ripple has no drawbacks ~ Ana Botin, executive chairman of the Santander group.",XRPXLMVERSE,113,345,10441,False,"Ripple has no drawbacks ~ Ana Botin, executive chairman of the Santander group.",Positive
Tue Mar 19 21:13:00 +0000 2024,KABOOMCOINBASE AND OTHERS JOIN TO DESTROY THE USA SEC!!!,CryptoHulk19,84,360,52593,False,KABOOMCOINBASE AND OTHERS JOIN TO DESTROY THE USA SEC!!!,Positive
Tue Mar 19 21:10:46 +0000 2024,KABOOMETHEREUM MASSIVE NNEW CRYPTO PLATFORM RELEASED. ACCREDITED OR HIGHER INVESTOR ONLY.,CryptoHulk19,22,137,52593,False,KABOOMETHEREUM MASSIVE NNEW CRYPTO PLATFORM RELEASED. ACCREDITED OR HIGHER INVESTOR ONLY.,Positive
Tue Mar 19 21:09:13 +0000 2024,KABOOMWORLDS LARGEST INVESTMENT COMPANY BLACKROCK MAKES MASSIVE MOVE,CryptoHulk19,116,462,52593,False,KABOOMWORLDS LARGEST INVESTMENT COMPANY BLACKROCK MAKES MASSIVE MOVE,Positive
Tue Mar 19 20:02:10 +0000 2024,ICYMI: recognized for role in cross-border payments $XRP,Utoday_en,6,19,95211,False,ICYMI: recognized for role in cross-border payments $XRP,Positive
Tue Mar 19 19:52:43 +0000 2024,"On 10/24/2023 this press release went live: ""Our partnership with illustrates how the unique capabilities of our platform can be used by enterprises to make efficient crypto-to-fiat transfers and bank payouts."" - Ripple Payments went Live the US just this year.",ChadSteingraber,121,526,52794,False,"On 10/24/2023 this press release went live: ""Our partnership with illustrates how the unique capabilities of our platform can be used by enterprises to make efficient crypto-to-fiat transfers and bank payouts."" - Ripple Payments went Live the US just this year.",Positive
Tue Mar 19 18:08:44 +0000 2024,"A small observation: though rebranded their primary product as ""Ripple Payments"", deprecating RippleNet &amp; ODL, the appellation is found almost nowhere in searching the literature of the past year.",WKahneman,19,156,80313,False,"A small observation: though rebranded their primary product as ""Ripple Payments"", deprecating RippleNet &amp; ODL, the appellation is found almost nowhere in searching the literature of the past year.",Neutral
Tue Mar 19 18:00:43 +0000 2024,Recognized as Best Cross-Border Payment Platform for 2024 Theres a reason theyre attacked from all angles.,NerdNationUnbox,34,163,18500,False,Recognized as Best Cross-Border Payment Platform for 2024 Theres a reason theyre attacked from all angles.,Positive
Tue Mar 19 16:49:37 +0000 2024,BOOOOOOOOOOOMMMMM Big BG Bullish on $XLM HodL $XRP and $XLM $SHX next stop PLUTO ,CKJCryptonews,8,53,58388,False,BOOOOOOOOOOOMMMMM Big BG Bullish on $XLM HodL $XRP and $XLM $SHX next stop PLUTO,Positive
Tue Mar 19 16:43:38 +0000 2024,CLO Reacts as Court Sanctions for Gross Abuse of Power in Case Against Crypto Firm This is the reputation  is cementing,NerdNationUnbox,30,91,18500,False,CLO Reacts as Court Sanctions for Gross Abuse of Power in Case Against Crypto Firm This is the reputation is cementing,Negative
Tue Mar 19 16:31:02 +0000 2024,Brazil is the 9th largest economy in the world. Could $2.126T be running through ?,WorkingMoneyCH,36,150,44215,False,Brazil is the 9th largest economy in the world. Could $2.126T be running through ?,Positive
Tue Mar 19 16:17:16 +0000 2024,A confidential meeting took place today between and . Exclusive insider photos reveal lawsuit settlement over institutional sales of could take an unbearably long amount of time.,GLigh7,0,10,6641,False,A confidential meeting took place today between and . Exclusive insider photos reveal lawsuit settlement over institutional sales of could take an unbearably long amount of time.,Negative
Tue Mar 19 15:07:05 +0000 2024,"JUST IN: The Central Bank of Nigeria has completed a memorandum of understanding with Gluwa Nigeria to promote the usage of the eNaira CBDC! Onafriq connects over 500 million mobile money wallets, 200 million bank accounts, and 300,000 agents in Nigeria!",_Crypto_Barbie,87,355,102379,False,"JUST IN: The Central Bank of Nigeria has completed a memorandum of understanding with Gluwa Nigeria to promote the usage of the eNaira CBDC! Onafriq connects over 500 million mobile money wallets, 200 million bank accounts, and 300,000 agents in Nigeria!",Positive
Tue Mar 19 14:44:23 +0000 2024,$XRP Ripple is spearheading the development of the Internet of Value (IOV) and has recently achieved a significant milestone by launching phase 2 of the e-HKD Pilot Programme in collaboration with Fubon Bank. This innovative initiative aims to revolutionize the,PiLifePI1,12,30,37844,,$XRP Ripple is spearheading the development of the Internet of Value (IOV) and has recently achieved a significant milestone by launching phase 2 of the e-HKD Pilot Programme in collaboration with Fubon Bank. This innovative initiative aims to revolutionize the,Positive
Tue Mar 19 13:57:54 +0000 2024,"Ripple/XRP-We Just Got Confirmation XRP Is A Stablecoin?, USDTether Banned In EU,Moon Landing Fake Paid Promotion",DigPerspectives,22,80,193029,,"Ripple/XRP-We Just Got Confirmation XRP Is A Stablecoin?, USDTether Banned In EU,Moon Landing Fake Paid Promotion",Neutral
Tue Mar 19 13:45:12 +0000 2024,. recognized for role in cross-border payments,Utoday_en,40,100,95211,,. recognized for role in cross-border payments,Positive
Tue Mar 19 13:25:16 +0000 2024,Swiss National Bank (SNB) On 1 December 2023 - Press Release Helvetia Phase III,MetaMan_X,7,36,11001,,Swiss National Bank (SNB) On 1 December 2023 - Press Release Helvetia Phase III,Neutral
Tue Mar 19 12:56:59 +0000 2024,WOW! Recognized as Best Cross-Border Payment Platform for 2024!,_Crypto_Barbie,152,636,102379,,WOW! Recognized as Best Cross-Border Payment Platform for 2024!,Positive
Tue Mar 19 12:53:43 +0000 2024,Ex   exec said $XRP is arguably a stable coin on stage. The liquidity will coincide with this bull run and we will enter a new phase for utility.,WorkingMoneyCH,32,111,44215,,Ex exec said $XRP is arguably a stable coin on stage. The liquidity will coincide with this bull run and we will enter a new phase for utility.,Positive
Tue Mar 19 10:03:29 +0000 2024,"Wow, the court sanctioning the SEC for a ""gross abuse of power"" in the case against the crypto firm is a significant development! Thanks for sharing the article, it's always interesting to see how the legal landscape is shaping up for Ripple.",Brett_Crypto_X,8,52,92210,,"Wow, the court sanctioning the SEC for a ""gross abuse of power"" in the case against the crypto firm is a significant development! Thanks for sharing the article, it's always interesting to see how the legal landscape is shaping up for Ripple.",Positive
Tue Mar 19 09:59:23 +0000 2024,"strikes gold at the 2024 Fintech Breakthrough Awards! Clinching titles for Best Cross-Border Payments &amp; DeFi Infrastructure, Ripple shines amidst fierce competition from 4000+ companies. A testament to their cutting-edge blockchain solutions transforming",CollinBrownXRP,10,24,11096,,"strikes gold at the 2024 Fintech Breakthrough Awards! Clinching titles for Best Cross-Border Payments &amp; DeFi Infrastructure, Ripple shines amidst fierce competition from 4000+ companies. A testament to their cutting-edge blockchain solutions transforming",Positive
Tue Mar 19 09:44:37 +0000 2024,Recognized as Best Cross-Border Payment Platform for 2024 via Crypto Basic,xrp334,56,217,59146,,Recognized as Best Cross-Border Payment Platform for 2024 via Crypto Basic,Positive
Tue Mar 19 09:44:19 +0000 2024,CLO Reacts as Court Sanctions SEC for Gross Abuse of Power in Case Against Crypto Firm via Crypto Basic,xrp334,57,194,59146,,CLO Reacts as Court Sanctions SEC for Gross Abuse of Power in Case Against Crypto Firm via Crypto Basic,Positive
Tue Mar 19 09:43:46 +0000 2024,CTO Shares His Expectations For in AMM via Crypto Basic,xrp334,16,72,59146,,CTO Shares His Expectations For in AMM via Crypto Basic,Neutral
Tue Mar 19 08:26:20 +0000 2024,Recognized as Best Cross-Border Payment Platform for 2024.,thecryptobasic,4,10,66702,,Recognized as Best Cross-Border Payment Platform for 2024.,Positive
Tue Mar 19 08:11:36 +0000 2024,"Ripple CLO  Reacts As Court Sanctions SEC for ""Gross Abuse of Power"" in Case Against Crypto Firm.",thecryptobasic,3,17,66702,,"Ripple CLO Reacts As Court Sanctions SEC for ""Gross Abuse of Power"" in Case Against Crypto Firm.",Positive
Tue Mar 19 08:00:25 +0000 2024,"Revolutionizing finance: BRLA Digital leads the way in Brazil's fintech scene! With the BRLA Token, stability meets innovation, powered by (XRP). Bridging traditional finance with crypto, they offer transparency, security, and XRP Ledger exploration. Join the",CollinBrownXRP,7,8,11096,,"Revolutionizing finance: BRLA Digital leads the way in Brazil's fintech scene! With the BRLA Token, stability meets innovation, powered by (XRP). Bridging traditional finance with crypto, they offer transparency, security, and XRP Ledger exploration. Join the",Positive
Tue Mar 19 04:01:01 +0000 2024,THE US SEC GETS SUED BY LABOR GROUPS!! THEY BEEN WATCHING MY SHOW!!!,CryptoHulk19,70,316,52593,,THE US SEC GETS SUED BY LABOR GROUPS!! THEY BEEN WATCHING MY SHOW!!!,Positive
Tue Mar 19 03:59:30 +0000 2024,QUANT CRYPTO DOING BIG THINGS FOR THE EURO!!!! CHECK IT OUT!!!,CryptoHulk19,21,142,52593,,QUANT CRYPTO DOING BIG THINGS FOR THE EURO!!!! CHECK IT OUT!!!,Positive
Tue Mar 19 03:07:06 +0000 2024,Unbelievably Corrupt SEC requests extra $158M from federal budget to police Wild West ,EdsonXRPWINS,4,10,1540,,Unbelievably Corrupt SEC requests extra $158M from federal budget to police Wild West,Negative
Mon Mar 18 22:14:45 +0000 2024,BANKING GIANTS JP MORGAN AND STANDARD CHARTERED USING RIPPLE XRP GLOBALLY??,CryptoHulk19,155,512,52593,,BANKING GIANTS JP MORGAN AND STANDARD CHARTERED USING RIPPLE XRP GLOBALLY??,Positive
Mon Mar 18 22:12:17 +0000 2024,BRICS COUNTRY SOUTH AFRICA IS GOING TO BE A HUGE CRYPTO FRIENDLY COUNTRY.,CryptoHulk19,53,206,52592,,BRICS COUNTRY SOUTH AFRICA IS GOING TO BE A HUGE CRYPTO FRIENDLY COUNTRY.,Positive
